,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,序号,FinalScore,MappedScore,Rank
17,1.6049190856982694,1.395785169978708,1.5271366716914003,1.0254742312953733,2.645210275732267,-0.46582436545762107,-0.49900005386511753,-0.13052985938292536,0.2709804453286822,0.026798629329878566,1.1044218666006151,-0.36270670906384456,-0.06750952505769581,0.02460401200934977,-0.07117039606959118,0.036421304162560564,18,1.1529799919359738,100.0,1
16,4.8676922405781555,-1.352782937867363,-2.194291950128845,-0.8121547113118441,-0.0890350353229853,0.6777024665244333,1.9793264173783416,-0.05339724775777817,-0.34452005464551555,-1.0150713767246513,0.36344953606816577,-0.19834384063007293,0.024740812254467087,0.0378571639120825,-0.1051191092103831,0.01241204021906913,17,1.022874737404367,94.66,2
12,2.0230912893356505,-0.6400039773378219,3.338681557906352,0.10230881804199966,-0.46848547909496036,1.0200474573159823,0.8285888770415546,-1.0827698083857762,1.2629279940914844,0.23077183165514484,-0.7105543422865674,-0.0409838253125961,-0.10899776534917234,-0.23217038807915844,-0.1328262675001504,0.017981385414295656,13,1.017219588995789,94.42,3
0,4.018164359415888,-1.6256788849123567,-1.364959648458243,2.6797679589902725,-0.4553889162550888,-0.2704739658470636,-1.3344620004621714,1.0382795873281574,0.06836291701299332,0.2874597167201307,-0.24995902206294918,0.3969762501404513,0.17139019819760384,-0.25297204672818135,-0.01967550593318119,0.07433035477598983,1,0.976233344442931,92.74,4
5,0.5778503278223264,3.2659012302294843,0.7678280776844112,0.11419765403229894,1.265230710893045,0.5735103540541309,-0.5791517337135271,0.2826688832329851,-1.0739836374148848,-1.1234791594148392,-0.5843262215563095,0.20420913021841816,0.10982236923650157,-0.22275704424505452,0.09627607530444653,-0.08833415618816409,6,0.8400974973635625,87.15,5
4,3.1912569368103414,-1.270415935740618,2.142085824273797,-1.4951921093210998,-0.0014882654709922215,-1.7381162610692666,-0.5643782564388127,-0.6817464078721662,-0.7921245488009762,0.06614854293376839,-0.3325314093878469,0.23777067615545353,-0.07159770620885034,0.46802138062429,0.1534306069832696,0.009376816487467826,5,0.7050207813240246,81.6,6
1,1.4490033558861355,1.0831983742957807,-1.2384468654358385,0.15905207946893019,0.47506370506250106,1.088220080400068,0.2985052198350751,0.912471312188484,1.3318014749078222,0.7564850648328156,-0.05167797408937625,0.041402638716223926,-0.11045653452495299,0.4208486402575768,0.2406551758399625,-0.15648969110034225,2,0.6854768713685824,80.8,7
8,0.29157208060862105,3.322609156027895,-1.8163944445693152,-1.116272820512752,-0.26864535808060136,-1.3512905738867087,1.2259602453542124,-0.3391555353160317,-0.4892932079784075,1.1401281122465055,-0.31781521844858823,0.13393145444314422,0.17862737234220447,-0.09827238325322137,-0.1353058934578804,0.030519958958399297,9,0.2052961409885876,61.08,8
13,-0.7221247106107925,3.1900715634825296,-0.10951601673173958,1.3364159741731345,-2.1007899176802445,-0.505774272629682,-0.31865140862044317,-0.6309210257197929,0.8112150277024013,-0.5899563527736228,0.2656670052804108,0.1206000125597517,-0.318189856591982,0.09847425050830431,-0.0591049970987286,0.056426282094825135,14,0.1654733234457586,59.44,9
18,-1.2880081602751472,0.20193700293720163,0.6969489027233984,-0.0980332639917556,0.30955059175556376,1.513218945108094,-0.17933062073032238,-0.056618996748360496,-0.16363635790172915,0.5439944005447255,-0.029619368575125194,-0.25194518430841284,0.8634163870823666,0.11281025295959034,-0.02734964339416873,0.0978880169164737,19,-0.15639755404208427,46.22,10
10,-0.9140306710668751,-0.04917607074609113,0.3448335940121794,-0.8614979869071683,-0.6969436278622799,2.5923603260747696,-0.06716978020764854,0.33819357958566953,-1.0109076677303535,0.37502353206607986,0.13792516079643338,0.03928010985543756,-0.4812525098139041,-0.17573085137208433,0.16149561907489318,0.06704656398570243,11,-0.21300087561539763,43.9,11
14,-0.3543628945841563,-0.04263568943726597,1.124752334368676,-2.0645205049231845,-1.9208845706918993,-0.45992373660601465,-1.0964456485075145,1.889537044541461,0.2859796205022145,-0.3623858644901741,0.2233391402779385,-0.2597846620608187,0.22140704392995056,0.036103367636164695,-0.17629505812084043,-0.06675279268459187,15,-0.3128586299990958,39.8,12
6,-1.5139405399550385,-0.6283791888935706,-0.19094325242383325,2.3390988046677212,-1.3072720077332682,0.23907392115189993,-0.04695237178197552,-0.553248509159651,-1.2749560229212589,0.1524612987275997,-0.04479310286634431,-0.48309715672422493,-0.16047438520265508,0.34749107127242723,-0.08012332778515423,-0.05615302732019596,7,-0.5089660267140911,31.74,13
9,0.3861989635647006,-0.7745585961122086,-2.1989131734262304,-1.726150191789262,0.24403232158869384,-0.37716212582549136,-1.9252200098805254,-1.278430637749022,0.2555297837104097,0.38725457406923214,0.03872137737160997,-0.4227400343210285,-0.23240485166193334,-0.3306653324402573,0.06112395799370002,-0.0071731161602362065,10,-0.5959197698265721,28.17,14
3,-2.0568654466069582,-1.413056448110616,0.41144841534882104,1.2335643697355487,0.844132017762667,-1.1439956261969875,0.734328287939613,0.5984114749898904,-0.5060571660103147,0.45594894829361826,-0.3094140565499402,-0.11884443963812608,-0.12883868460474887,-0.0884901767244291,-0.033500435886969084,-0.038031696849466425,4,-0.6365416575084463,26.5,15
2,-1.5607112945456052,-1.2382147242065955,0.5758007388999652,-0.08654081646438758,-0.6245076755325627,0.09993296746679904,0.2942957796597741,-0.9262292015845814,-0.21656613359697416,0.21796941098403144,1.1469383368876882,0.7217502544736197,0.24738900989699059,-0.16304670208967348,0.014385761151304615,-0.1334350226031349,3,-0.6452332202876422,26.15,16
11,-2.140605842871891,-0.3439987486433215,0.34993860007249,-0.20991289474982175,-0.22620308373482986,-1.1073485963977898,0.9886677009882983,0.7925161237656713,0.34167641487895595,-0.28771662669009473,0.24455801181791492,-0.02396608373720263,-0.02953424279234919,-0.0626200610952617,0.304291325863556,0.2235914301828058,12,-0.6769582832042482,24.84,17
7,-2.19806726820405,-0.9823449762432889,0.3304232059471981,-0.4520565299624424,1.0588562432134316,-0.5389676206312243,0.6398648565661956,1.070344491144985,0.14290068399551542,0.0647672542611546,-0.1423488017406879,0.05966957824159343,-0.3937642098395317,-0.179992465386555,-0.17160099210604685,-0.07954128186038419,8,-0.6961728401192625,24.05,18
19,-2.471300522066982,-1.079387120386377,-0.8980660122491018,0.5634046101458708,-0.10113871663544066,-0.6346778927429818,0.33877922186526754,-0.8018391074085088,0.6607352844541018,-0.7949302034185427,-0.4059328847211653,-0.25134917233566934,0.36996522821005967,-0.13423914395561212,0.20423843097537173,-0.10535980836246234,20,-1.0467731307420076,9.65,19
15,-3.1897312889325944,-1.0188691983141025,-1.5983465595055408,-0.6309526706174319,1.4187067880869844,0.7894885191946573,-0.7175547224202756,-0.38753615969271216,0.4399351504158352,-0.5316717331527637,-0.3460480328158769,0.45817100332790417,-0.08373814950236796,0.3947464561897039,-0.22382532662340895,0.10527643993139148,16,-1.281850289210729,0.0,20
